STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",6/20/2020,0,105,77
USW00023183,"PHOENIX AIRPORT, AZ US",6/21/2020,0,108,81
USW00023183,"PHOENIX AIRPORT, AZ US",6/22/2020,0,109,81
USW00023183,"PHOENIX AIRPORT, AZ US",6/23/2020,0,110,83
USW00023183,"PHOENIX AIRPORT, AZ US",6/24/2020,0,111,81
USW00023183,"PHOENIX AIRPORT, AZ US",6/25/2020,0,110,82
USW00023183,"PHOENIX AIRPORT, AZ US",6/26/2020,0,110,82
USW00023183,"PHOENIX AIRPORT, AZ US",6/27/2020,0,108,84
USW00023183,"PHOENIX AIRPORT, AZ US",6/28/2020,0,105,81
USW00023183,"PHOENIX AIRPORT, AZ US",6/29/2020,0,101,81
USW00023183,"PHOENIX AIRPORT, AZ US",6/30/2020,0,100,76
USW00023183,"PHOENIX AIRPORT, AZ US",7/1/2020,0,105,76
USW00023183,"PHOENIX AIRPORT, AZ US",7/2/2020,0,104,80
USW00023183,"PHOENIX AIRPORT, AZ US",7/3/2020,0,105,85
USW00023183,"PHOENIX AIRPORT, AZ US",7/4/2020,0,110,86
USW00023183,"PHOENIX AIRPORT, AZ US",7/5/2020,0,112,87
USW00023183,"PHOENIX AIRPORT, AZ US",7/6/2020,0,111,83
USW00023183,"PHOENIX AIRPORT, AZ US",7/7/2020,0,111,84
USW00023183,"PHOENIX AIRPORT, AZ US",7/8/2020,0,111,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/9/2020,0,110,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/10/2020,0,111,91
USW00023183,"PHOENIX AIRPORT, AZ US",7/11/2020,0,115,94
USW00023183,"PHOENIX AIRPORT, AZ US",7/12/2020,0,116,93
USW00023183,"PHOENIX AIRPORT, AZ US",7/13/2020,0,114,93
USW00023183,"PHOENIX AIRPORT, AZ US",7/14/2020,0,111,90
USW00023183,"PHOENIX AIRPORT, AZ US",7/15/2020,0,109,89
USW00023183,"PHOENIX AIRPORT, AZ US",7/16/2020,0,111,88
